X,Y,FID,OBJECTID,Municipali,Address,City,State,Zip_Code,Transparen,SymbolID
-90.541893638530951,38.59729088788005,1,1,Ballwin,300 Park Drive,St. Louis,MO,63011,0, 
-90.289091758110359,38.542562291019607,2,2,Bella Villa,751 Avenue H,St. Louis,MO,63125,0, 
-90.225764373572744,38.741518951080842,3,3,Bellefontaine Neighbors,9641 Bellefontaine Road,St. Louis,MO,63137,0, 
-90.317450034612563,38.708967132245562,4,4,Bel-Nor,8416 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.326235906637592,38.715668037970609,5,5,Bel-Ridge,8920 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.334475144829071,38.748244057139395,6,6,Berkeley 1,6120 Madison,St. Louis,MO,63134,0, 
-90.334975964583123,38.748974784861367,7,7,Berkeley 2,6140 N Hanley Road,St. Louis,MO,63134,0, 
-90.291877352059728,38.700936696741856,8,8,Beverly Hills,7150 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.262616963094715,38.794750597752397,9,9,Black Jack,12500 Old Jamestown Road,St. Louis,MO,63033,0, 
-90.366006779361228,38.719256346589212,10,10,Breckenridge Hills,9623 St. Charles Rock Road,St. Louis,MO,63114,0, 
-90.348445037153567,38.618426881022437,11,11,Brentwood,2348 South Brentwood Boulevard,St. Louis,MO,63144,0, 
-90.423477424029215,38.756267446259002,12,12,Bridgeton,12355 Natural Bridge Road,St. Louis,MO,63044,0, 
-90.316926715653906,38.76465569634734,13,13,Calverton Park,52 Young Drive,St. Louis,MO,63135,0, 
-90.339916605220978,38.696345712257902,14,14,Charlack,8401 Midland Boulevard,St. Louis,MO,63114,0, 
-90.563669711909697,38.66190341930217,15,15,Chesterfield,690 Chesterfield Parkway West,St. Louis,MO,63017,0, 
-90.587130471399249,38.604908307533762,16,16,Clarkson Valley,15933 Clayton Road,St. Louis,MO,63011,0, 
-90.341465581943496,38.649846110788019,17,17,Clayton,10 South Brentwood Boulevard,St. Louis,MO,63105,0, 
-90.302909036549565,38.707701536017304,18,18,Cool Valley,100 Signal Drive,St. Louis,MO,63121,0, 
-90.274282656054183,38.719453319183913,19,19,Country Club Hills,7422 Eunice Avenue,St. Louis,MO,63136,0, 
-90.385695430327743,38.559365919066373,20,20,Crestwood,1 Detjen Drive,St. Louis,MO,63126,0, 
-90.443226000710013,38.661790363675607,21,21,Creve Coeur,300 North New Ballas Road,St. Louis,MO,63141,0, 
-90.281800262306561,38.74944798639261,22,22,Dellwood,1415 Chambers Road,St. Louis,MO,63135,0, 
-90.441909096554653,38.60332431050341,23,23,Des Peres,12325 Manchester Road,St. Louis,MO,63131,0, 
-90.363845904403163,38.733035128586224,24,24,Edmundson,4440 Holman Lane,St. Louis,MO,63134,0, 
-90.592253620058443,38.592896303567827,25,25,Ellisville,37 Weis Avenue,St. Louis,MO,63011,0, 
-90.62921936047529,38.495364257475877,26,26,Eureka,120 City Hall Drive,St. Louis,MO,63025,0, 
-90.452043355092485,38.517751086284775,27,27,Fenton,625 New Smizer Mill Road,St. Louis,MO,63026,0, 
-90.303868225270591,38.744993367343618,28,28,Ferguson,110 Church Street,St. Louis,MO,63135,0, 
-90.261839242145911,38.717055286787968,29,29,Flordell Hills,7001 Brandon Avenue,St. Louis,MO,63136,0, 
-90.361233403232646,38.807136861019565,30,30,Florissant,315 Howdershell Road,St. Louis,MO,63031,0, 
-90.412160220806101,38.633077769710134,31,31,Frontenac,10555 Clayton Road,St. Louis,MO,63131,0, 
-90.386475647694738,38.589709921602903,32,32,Glendale,424 North Sappington Road,St. Louis,MO,63122,0, 
-90.343997825829902,38.548611585249503,33,33,Grantwood Village,One Missionary Way,St. Louis,MO,63123,0, 
-90.303229520408635,38.706294594438518,34,34,Greendale,7700 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.323475774536647,38.683160179950455,35,35,Hanley Hills,7713 Utica Drive,St. Louis,MO,63133,0, 
-90.355246695107667,38.784995192452463,36,36,Hazelwood,415 Elm Grove Lane,St. Louis,MO,63042,0, 
-90.289532325163364,38.68527443411169,37,37,Hillsdale,6428 Jesse Jackson Avenue,St. Louis,MO,63121,0, 
-90.266694602120594,38.71028484506769,38,38,Jennings,7005 Florence Avenue,St. Louis,MO,63136,0, 
-90.322535618421526,38.737710690500329,39,39,Kinloch,8140 Scott,St. Louis,MO,63140,0, 
-90.406435184736864,38.580221420049035,40,40,Kirkwood,139 S. Kirkwood Road,St. Louis,MO,63122,0, 
-90.379610698038988,38.640806653151202,41,41,Ladue,9435 Clayton Road,St. Louis,MO,63124,0, 
-90.338120538794755,38.536794131117105,42,42,Lakeshire,10000 Puttington Drive,St. Louis,MO,63123,0, 
-90.326696108167752,38.593514180260186,43,43,Mackenzie,4400 Shrewsbury Avenue,St. Louis,MO,63119,0, 
-90.504845898098324,38.595201853738466,44,44,Manchester,200 Highlands Blvd. Dr.,St. Louis,MO,63011,0, 
-90.326002826160718,38.612919172307919,45,45,Maplewood,7601 Manchester Road,St. Louis,MO,63143,0, 
-90.337603047207338,38.570863457022952,46,46,Marlborough,7826 Wimbledon Drive,St. Louis,MO,63119,0, 
-90.435520745377943,38.714558134017437,47,47,Maryland Heights,11911 Dorsett Road,St. Louis,MO,63043,0, 
-90.243990781954054,38.751127501326891,48,48,Moline Acres,2449 Chambers Road,St. Louis,MO,63136,0, 
-90.303229520408635,38.706294594438518,49,49,Normandy,7700 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.280254782725464,38.706002048691651,50,50,Northwoods,4600 Oakridge Boulevard,St. Louis,MO,63121,0, 
-90.379080421628444,38.582892792600816,51,51,Oakland,1320 W. Lockwood Avenue,St. Louis,MO,63122,0, 
-90.380431259643686,38.67413788715772,52,52,Olivette,9473 Olive Boulevard,St. Louis,MO,63132,0, 
-90.359068354701762,38.700217899154921,53,53,Overland,2410 Goodale Avenue,St. Louis,MO,63114,0, 
-91.10549670438138,38.27440021991719,54,54,Pacific,300 Hoven Drive,St. Louis,MO,63079,0, 
-90.307391827446679,38.682046605257185,55,55,Pagedale,1420 Ferguson Avenue,St. Louis,MO,63133,0, 
-90.293496259932155,38.704458899647435,56,56,Pasadena Hills,3915 Roland Boulevard,St. Louis,MO,63121,0, 
-90.298061435323973,38.70988086480537,57,57,Pasadena Park,7615 South Sunset,St. Louis,MO,63121,0, 
-90.278163393352941,38.69286187594593,58,58,Pine Lawn,6250 Steve Marve Avenue,St. Louis,MO,63121,0, 
-90.318751800358783,38.627921232736497,59,59,Richmond Heights,7447 Dale Avenue,St. Louis,MO,63117,0, 
-90.214965827051955,38.740091188875979,60,60,Riverview,9699 Lilac Drive,St. Louis,MO,63137,0, 
-90.36239250034204,38.605463094758079,61,61,Rock Hill,320 West Thornton Avenue,St. Louis,MO,63119,0, 
-90.326696108167752,38.593514180260186,62,62,Shrewsbury,4400 Shrewsbury Avenue,St. Louis,MO,63119,0, 
-90.382625934612634,38.728405681227009,63,63,St. Ann,10405 St. Charles Rock Road,St. Louis,MO,63074,0, 
-90.351884168946867,38.711514959960503,64,64,St. John,8944 St. Charles Rock Road,St. Louis,MO,63114,0, 
-90.402424043499906,38.545350800088002,65,65,Sunset Hills,3939 South Lindbergh,St. Louis,MO,63127,0, 
-90.351884168946867,38.711514959960503,66,66,Sycamore Hills,8944 St. Charles Rock Road,St. Louis,MO,63114,0, 
-90.451435926873771,38.632015980541965,67,67,Town and Country,1011 Municipal Center Drive,St. Louis,MO,63131,0, 
-90.315918540902118,38.664023501032702,68,68,University City,975 Pennsylvania Avenue,St. Louis,MO,63130,0, 
-90.281079490055205,38.693719538498712,69,69,Uplands Park,6390 Natural Bridge Road,St. Louis,MO,63121,0, 
-90.487499696761617,38.551440342152404,70,70,Valley Park,320 Benton Street,St. Louis,MO,63088,0, 
-90.296187446335068,38.692589240359723,71,71,Velda City,2560 Lucas & Hunt Road,St. Louis,MO,63121,0, 
-90.285886577261479,38.693128876133009,72,72,Velda Village Hills,3501 Avondale Avenue,St. Louis,MO,63121,0, 
-90.338833837062936,38.695564813476707,73,73,Vinita Park,8374 Midland Boulevard,St. Louis,MO,63114,0, 
-90.329862558153181,38.683588127155737,74,74,Vinita Terrace,8027 Page Boulevard,St. Louis,MO,63130,0, 
-90.385568872975597,38.603137882024654,75,75,Warson Woods,10015 Manchester Road,St. Louis,MO,63122,0, 
-90.346567650736233,38.588830878960273,76,76,Webster Groves,4 Lockwood Aveue,St. Louis,MO,63119,0, 
-90.289232729829592,38.675383480416748,77,77,Wellston,1414 Evergreen,St. Louis,MO,63133,0, 
-90.630892265181132,38.580903249859439,78,78,Wildwood,16860 Main Street,St. Louis,MO,63040,0, 
-90.527125985640296,38.592681998284888,79,79,Winchester,109 Lindy Boulevard,St. Louis,MO,63021,0, 
-90.357898522724696,38.728083778477988,80,80,Woodson Terrace,4323 Woodson Road,St. Louis,MO,63134,0, 
-90.338592573832145,38.648933508487289,81,81,Unincorporated Central St. Louis County,7900 Carondelet Avenue,St. Louis,MO,63105,0, 
-90.580247380266329,38.627511997103795,82,82,Unincorporated West St. Louis County,82 Clarkson Wilson Centre,St. Louis,MO,63017,0, 
-90.359116026497276,38.781553592167057,83,83,Unincorporated North St. Louis County,21 Village Square,St. Louis,MO,63042,0, 
-90.336673727469503,38.496764683829404,84,84,Unincorporated South St. Louis County,4544 Lemay Ferry Road,St. Louis,MO,63129,0, 
