Municipality,Municipal Court,Municipal Website,Municipal Court Website,Court Docket Time/Place Listed?,Court Clerk Phone Number Listed on Muni Site?,Info obtained from:,Online Payment System Provider,Mention of Dress Code?,Fine Schedule Listed?,Municipal Codes Listed?,Order Seen Stated?,Directions to Court Listed?,,,,,,,,,,,
Ballwin,X,http://www.ballwin.mo.us,http://www.ballwin.mo.us/City-Government/Departments/Municipal-Court,not listed,not listed,State website,iPayCourt,yes,,,Order of court begins with people with attorneys,no,,,,,,,,,,,
Bella Villa,X,http://www.cityofbellavilla-mo.org,none,not listed,not listed,state website,IPG (The Payment Group),,,,,no,,,,,,,,,,,
Bellefontaine Neighbors,X,http://www.cityofbn.com,http://www.cityofbn.com/departments/court/,not listed,not listed,,iPayCourt,yes,yes,,"Court order is first come, first serve",no,,,,,,,,,,,
Bellerive,Normandy,http://www.belleriveacres.com/,,,,,,,,,,,,,,,,,,,,,
Bel-Nor,X,none,none,not listed,not listed,state website,N/A,,,,,no,,,,,,,,,,,
Bel-Ridge,X,http://bel-ridge.us,http://bel-ridge.us/?page_id=90,not listed,not listed,state website,Collector Solutions,,yes,,,no,,,,,,,,,,,
Berkeley,X,http://www.cityofberkeley.us ,http://www.cityofberkeley.us/index.aspx?nid=124,not listed,not listed,,iPayCourt,,,,,no,,,,,,,,,,,
Beverly Hills,X,N/A (St. Louis County dead links to http://www.cityofbeverlyhillsmo.org),none,not listed,not listed,state website,N/A,,,,,no,,,,,,,,,,,
Black Jack,X,http://www.cityofblackjack.com,http://www.cityofblackjack.com/241/Municipal-Court,not listed,not listed,state website,iPayCourt,,yes,,,no,,,,,,,,,,,
Breckenridge Hills,X,http://www.breckenridge-hills.mo.us,Dead Link: http://www.breckenridge-hills.mo.us/bhmunicpal.html,not listed,not listed,state website,Ncourt (no link from city website),,,,,no,,,,,,,,,,,
Brentwood,X,http://www.brentwoodmo.org,http://www.brentwoodmo.org/index.aspx?nid=477,not listed,314.963.8622,,N/A (Doesn't use),yes,yes,,"Court order is first come, first serve",no,,,,,,,,,,,
